Test #,Author,Date,Revision,Purpose,Requirement,Procedure,Measure of Success
BJ-057,*,*,*,Test the game's shuffle method.,3.11.1,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Continue to play the game until the deck has emptied.",The deck will repopulate with shuffled cards. The cards will shuffle before any new cards are dealt.
BJ-058,*,*,*,Test the game's shuffle method.,3.11.2,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Continue to play the game until the deck has emptied.",The cards that repopulate into the new deck will NOT include the cards currently in play.
BJ-059,*,*,*,Test the game's shuffle method.,3.11.3,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Continue to play the game until the deck has emptied.",Drawing a card from the new deck must give a pseudorandom card.
BJ-060,*,*,*,Test the game's shuffle method.,3.11.4,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Continue to play the game until the deck has emptied.
Continue to play the game until the deck has emptied again.","The shuffle method must be independent; that is, the shuffling method must not use any static patterns."
BJ-061,*,*,*,Test the game's check for Blackjack.,"3.12
3.12.1
3.12.2","Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play until the user's hand contains Blackjack (i.e. an Ace and a 10 or face card).","The game will recognize that the user or dealer's hand is a Blackjack, and will automatically end the user's turn."
BJ-062,*,*,*,Test the game's WinLoss comparison.,3.13,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.",The game will perform a win-loss comparison of the value of the user's hand versus the value of the dealer's hand.
BJ-063,*,*,*,Test the game's WinLoss comparison.,3.13.1,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If at any time the player has over 21 points, the user's turn is immediately terminated."
BJ-064,*,*,*,Test the game's WinLoss comparison.,3.13.2,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If at any time the player has over 21 points, the user's turn is immediately terminated.  The user will lose the round."
BJ-065,*,*,*,Test the game's WinLoss comparison.,3.13.3,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","Once the dealer stands, the game must end."
BJ-066,*,*,*,Test the game's WinLoss comparison.,3.13.4,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If the game ends, and neither player has over 21 points, and one player has more points than another player, that player will win."
BJ-067,*,*,*,Test the game's WinLoss comparison.,3.13.5,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If the game ends, and neither player has over 21 points, and the players have the same number of points, no player will win."
BJ-068,*,*,*,Test the game's WinLoss comparison.,3.13.6,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If the dealer wins, the player will lose."
BJ-069,*,*,*,Test the game's WinLoss comparison.,3.13.7,"Start program.
Enter username into pop-up.
Enter bet into pop-up.
Play the game until the deck has emptied.","If the player wins, the dealer will win."
BJ-070,*,*,*,Test the game's betting process.,"3.14
3.14.1","Start program.
Enter bet.",The user will bet at the beginning of each game.
BJ-071,*,*,*,Test the game's betting process.,3.14.2,"Start program.
Enter a bet that has a greater value than the amount of money the user currently has.",The user will not be able to bet more money than they have.
BJ-072,*,*,*,Test the game's betting process.,3.14.3,"Start program.
Enter a bet of < 20 dollars.",The user will not be able to bet less than twenty dollars on a single game.
BJ-073,*,*,*,Test the game's betting process.,3.14.4,"Start program.
Enter username.
Enter bet.",The user should not be able to enter a bet once a game has started.
BJ-074,*,*,*,Test the game's rewards process.,3.14.5,"Start program.
Enter username.
Enter bet.
Play game until the user wins.",The user will be paid twice as much money as they bet on the game.
BJ-075,*,*,*,Test the game's rewards process.,3.14.6,"Start program.
Enter username.
Enter bet.
Play game until the user loses.",The user will be paid no money.
BJ-076,*,*,*,Test the game's rewards process.,3.14.7,"Start program.
Enter username.
Enter a bet between 20 and the users total funds that is not an integer.",The user will not be able to bet a non-integer.
BJ-077,*,*,*,Test the game's rewards process.,3.14.8,"Start program.
Enter username.
Enter bet.",The user's funds will decrement by the exact amount the user bets.
BJ-078,*,*,*,Test the game's rewards process.,3.14.9,"Start program.
Enter username.
Enter bet.
Play game until the user wins.",The user's funds will increment by the exact amount the user wins.
BJ-079,*,*,*,Test the game's rewards process.,3.14.10,"Start program.
Enter username.
Enter bet.
Play game until the user and the dealer tie.",The user's funds will increment by the exact amount the user bet.
